epoch,belign,malign
epoch_1,0.12598851661853244,0.13332654048896936
epoch_2,0.08222620054556504,0.05465916344603128
epoch_3,0.09447006416982089,0.0819935468323001
epoch_4,0.10458543405432648,0.1245686907069701
epoch_5,0.07475475963361751,0.10186772917257876
epoch_6,0.12135689962232168,0.10375758279214804
epoch_7,0.09885352565283292,0.07835279725441835
epoch_8,0.08565678545937681,0.09915063703423568
epoch_9,0.08204541705313662,0.09621812807228738
epoch_10,0.09536480446287929,0.11120680387711779
epoch_11,0.04506119203002916,0.11039766020219348
epoch_12,0.11024407605560733,0.10410110505672407
epoch_13,0.08777882280525787,0.10731470158655418
epoch_14,0.0985722120507693,0.14091533963260566
epoch_15,0.11557568146314852,0.10230878150538861
epoch_16,0.10507456435235958,0.12823998915571252
epoch_17,0.10610603621192696,0.1413931345286873
epoch_18,0.08234076321755604,0.08940878461015232
epoch_19,0.07739712908294205,0.08668332866051802
epoch_20,0.10867994723455283,0.1010353354632505
epoch_21,0.0710852483497417,0.09064418225481523
epoch_22,0.12291196710212078,0.08913279974526724
epoch_23,0.1095450219106819,0.11830072221931247
epoch_24,0.10698588505506541,0.07706651961361415
epoch_25,0.08259631535857802,0.09375583358951164
epoch_26,0.08817634433912801,0.11168786278695504
epoch_27,0.08368454250146565,0.12537686610162618
epoch_28,0.09848536949344974,0.11534317209989195
epoch_29,0.07376747521713216,0.12399587670321895
epoch_30,0.08769514474431113,0.09191011781980496
epoch_31,0.10288421859399377,0.08134875110235311
epoch_32,0.1019550259767156,0.0871706517838508
epoch_33,0.07385793460101807,0.10632419174883397
epoch_34,0.0950413922419327,0.11044213221208574
epoch_35,0.11513679737387202,0.113784741206273
epoch_36,0.10131121180498577,0.11767426013779055
epoch_37,0.07682839473232815,0.11355662971254044
epoch_38,0.08637325115860284,0.09491466509231652
epoch_39,0.060743454649302975,0.09421132990057103
epoch_40,0.11144808113197884,0.08252907708992971
epoch_41,0.08978895910692217,0.07665115932396012
epoch_42,0.08704308470156862,0.061538329927559296
epoch_43,0.07422101602208449,0.09367074821358247
epoch_44,0.08138381751877283,0.09843944952646366
epoch_45,0.07695790245214087,0.08523039675455783
epoch_46,0.12089037658642361,0.08258833907172598
epoch_47,0.10874056416219373,0.1324580936543453
epoch_48,0.07876815072204947,0.11847689984939025
epoch_49,0.07873172674687998,0.09212467668289445
epoch_50,0.08827430331594478,0.10979655909047552
