model,valor
model_8,0.9421235625532316
model_9,1.299641982586206
model_10,1.2520644968046561
model_11,1.123188686320067
model_12,0.9959560541651759
model_13,1.2467892493428103
model_14,1.0064682790339525
model_15,1.0554128679215582
model_16,1.659073249118696
model_17,0.914260007168415
